Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/17/2024,12/18/2024,Amazon.com*Z92BQ2FP2,Shopping,Sale,-434.41,
12/13/2024,12/15/2024,AMAZON MKTPL*ZX5BB7DJ0,Shopping,Sale,-10.88,
12/11/2024,12/12/2024,Amazon.com*ZX8227A80,Shopping,Sale,-6.79,
12/09/2024,12/10/2024,Kindle Svcs*ZR76R7SV0,Shopping,Sale,-9.99,
12/06/2024,12/08/2024,AMAZON MKTPL*ZL7EG9S41,Shopping,Sale,-27.19,
12/05/2024,12/06/2024,AMAZON MKTPL*ZR6GF6CH0,Shopping,Sale,-53.34,
12/01/2024,12/01/2024,AUTOMATIC PAYMENT - THANK,,Payment,93.67,
11/30/2024,12/01/2024,AMAZON MKTPL*Z32LF67K2,Shopping,Sale,-32.65,
11/30/2024,12/01/2024,Amazon.com*Z38I77HZ1,Shopping,Sale,-30.25,
11/27/2024,11/28/2024,Amazon Prime*Z32O33VY0,Bills & Utilities,Sale,-151.34,
11/25/2024,11/26/2024,AMAZON MKTPL*A67MZ9883,Shopping,Sale,-34.83,
11/25/2024,11/25/2024,AMAZON MKTPL*T55W74D23,Shopping,Sale,-34.83,
11/15/2024,11/17/2024,AMAZON MKTPL*GO6XX2QE3,Shopping,Sale,-8.36,
11/14/2024,11/15/2024,AMAZON MKTPL*GR1YX0YQ3,Shopping,Sale,-52.19,
11/14/2024,11/14/2024,AMAZON MKTPL*2K62A7HE3,Shopping,Sale,-9.79,
10/28/2024,10/29/2024,Amazon.com*PB3B333E3,Shopping,Sale,-19.42,
10/22/2024,10/23/2024,Amazon.com*QN8U87KO3,Shopping,Sale,-38.11,
10/17/2024,10/18/2024,AMAZON MKTPL*GJ2139KK3,Shopping,Sale,-20.47,
10/08/2024,10/09/2024,AMAZON MKTPL*UN1KQ0Q63,Shopping,Sale,-15.67,
10/07/2024,10/07/2024,Payment Thank You-Mobile,,Payment,569.62,
10/01/2024,10/01/2024,AUTOMATIC PAYMENT - THANK,,Payment,41.57,
09/25/2024,09/25/2024,AMAZON MKTPL*3K9LI9ES3,Shopping,Sale,-30.00,
09/25/2024,09/25/2024,Amazon.com*U54CR8O23,Shopping,Sale,-261.03,
09/23/2024,09/24/2024,AMAZON MKTPL*MM8ZA02J3,Shopping,Sale,-10.88,
