Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/23/2025,02/24/2025,TOBALDI,Shopping,Sale,-324.99,
02/21/2025,02/21/2025,Payment Thank You-Mobile,,Payment,5065.58,
02/19/2025,02/21/2025,BLOOMINGDALES  NEW YORK,Shopping,Return,68.58,
02/19/2025,02/20/2025,BLOOMINGDALES  NEW YORK,Shopping,Sale,-68.58,
02/19/2025,02/20/2025,BLOOMINGDALES  NEW YORK,Shopping,Sale,-268.47,
02/19/2025,02/20/2025,NBA League Pass,Bills & Utilities,Sale,-16.99,
02/19/2025,02/20/2025,MANGO,Shopping,Sale,-179.97,
02/19/2025,02/20/2025,CITY CLERK BROOKLYN,Bills & Utilities,Sale,-35.00,
02/17/2025,02/18/2025,ZIANI - BROOKLYN,Shopping,Sale,-300.50,
02/14/2025,02/16/2025,NYCDOT PARKNYC,Travel,Sale,-25.05,
02/13/2025,02/14/2025,HARRICO GALLER DRUG CORP,Health & Wellness,Sale,-5.00,
02/13/2025,02/14/2025,IN *JOSEPH HUSNEY MD,Health & Wellness,Sale,-30.00,
02/11/2025,02/13/2025,BROOKLYN SQUARE,Personal,Sale,-25.00,
02/12/2025,02/13/2025,IN *JOSEPH HUSNEY MD,Health & Wellness,Sale,-30.00,
02/10/2025,02/11/2025,INTUIT *TURBOTAX,Shopping,Sale,-139.36,
02/10/2025,02/10/2025,Payment Thank You-Mobile,,Payment,1518.83,
02/07/2025,02/09/2025,LABORATORY CORPORATION OF,Health & Wellness,Sale,-20.00,
02/08/2025,02/09/2025,GLASSESUSA.COM,Health & Wellness,Sale,-267.66,
02/04/2025,02/05/2025,233E70THST FEES,Professional Services,Sale,-3654.00,
01/29/2025,01/29/2025,Patreon* Membership,Entertainment,Sale,-2.00,
01/26/2025,01/28/2025,Spotify USA,Bills & Utilities,Sale,-10.99,
01/26/2025,01/28/2025,SQ *BESPOK,Shopping,Sale,-163.31,
01/26/2025,01/26/2025,Payment Thank You-Mobile,,Payment,1539.44,
01/24/2025,01/26/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.78,
01/21/2025,01/22/2025,SK AUTO BODY REPAIR,Automotive,Sale,-81.66,
01/20/2025,01/22/2025,SWINGERS CRAZY GOLF,Entertainment,Return,56.00,
01/20/2025,01/21/2025,NBA League Pass,Bills & Utilities,Sale,-16.99,
01/19/2025,01/20/2025,HARRICO GALLER DRUG CORP,Health & Wellness,Sale,-101.29,
01/19/2025,01/20/2025,KOL ISRAEL CONGREGATIO,Gifts & Donations,Sale,-101.00,
01/16/2025,01/19/2025,SWINGERS CRAZY GOLF,Entertainment,Return,56.00,
01/17/2025,01/17/2025,SWINGERS CRAZY GOLF,Entertainment,Sale,-56.00,
01/15/2025,01/16/2025,SWINGERS CRAZY GOLF,Entertainment,Sale,-56.00,
01/15/2025,01/16/2025,SWINGERS CRAZY GOLF,Entertainment,Sale,-56.00,
01/09/2025,01/10/2025,BROOKLYN NET WELLNESS 1,Health & Wellness,Sale,-140.00,
01/05/2025,01/07/2025,1421 STRONG BODYWORK,Health & Wellness,Sale,-64.00,
01/05/2025,01/06/2025,SQ *BESPOK,Shopping,Sale,-647.81,
01/01/2025,01/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,579.32,
