Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/23/2025,02/24/2025,Amazon.com*6C7FV2XT3,Shopping,Sale,-38.06,
02/13/2025,02/13/2025,Amazon.com*UM1PO6YO3,Shopping,Sale,-11.41,
02/10/2025,02/10/2025,AMZN Mktp US*QL29I20A3,Shopping,Sale,-29.39,
02/08/2025,02/09/2025,AMAZON MKTPL*KY3AO8XD3,Shopping,Sale,-19.60,
02/07/2025,02/09/2025,AMAZON MKTPL*Z70PM85J1,Shopping,Sale,-56.81,
01/27/2025,01/27/2025,Payment Thank You-Mobile,,Payment,94.87,
01/17/2025,01/19/2025,AMAZON MKTPLACE PMTS,Shopping,Return,27.19,
01/15/2025,01/16/2025,Amazon.com,Shopping,Return,434.41,
01/04/2025,01/05/2025,AMAZON MKTPL*ZD2RE85N2,Shopping,Sale,-13.87,
01/01/2025,01/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,354.24,
